subject,trial,condition,group,Fz_N100,FCz_N100,Cz_N100,FC3_N100,FC4_N100,C3_N100,C4_N100,CP3_N100,CP4_N100,AFz_N100,F2_N100
1,40,1,0,-7.790438095,-8.578633333,-12.61975714,-0.782361905,-6.72622381,-2.462238095,-8.483319048,-7.066909524,-10.88882857,-6.229995238,-9.611242857
1,41,1,0,-16.18409524,-12.07178095,-9.190957143,-11.90985238,-12.03962857,-6.54362381,-9.858990476,-10.00281905,-10.06525714,-13.23777143,-11.77862381
1,42,1,0,-22.46354286,-22.76082381,-21.12011905,-13.37204762,-18.52424286,-14.32925238,-13.71754762,-15.6374381,-10.82199524,-16.70740476,-18.68844762
1,43,1,0,-14.49344286,-17.1942,-14.8868619,-6.531133333,-21.64379048,-8.291047619,-14.67337619,-5.728280952,-12.63878095,-11.50380476,-16.458
1,44,1,0,8.154695238,9.745852381,13.72903333,2.225438095,12.22856667,5.083347619,12.26488095,7.011828571,11.32291429,6.882633333,9.402580952
1,45,1,0,-13.32179524,-13.67354762,-10.97939524,-14.07969048,-12.98354286,-10.80402381,-13.48254762,-12.2424,-10.09472381,-12.59174286,-13.4308
1,46,1,0,-5.896242857,-10.11458571,-9.3258,-9.29162381,-7.229771429,-0.841461905,-5.791942857,-1.622195238,-3.761857143,-4.894666667,-8.970871429
1,47,1,0,-4.173047619,-1.283533333,-0.263619048,-5.371552381,4.422757143,-6.561790476,3.761133333,-3.720052381,4.535204762,-0.133752381,1.861628571
1,48,1,0,2.832428571,1.088214286,-1.572871429,-0.821009524,-5.528866667,2.167780952,-3.82712381,-1.910185714,-5.135761905,1.042847619,2.510338095
1,49,1,0,-5.39007619,-3.32842381,0.013695238,-3.086938095,1.773571429,4.556952381,1.861971429,1.656742857,2.813085714,-4.3825,-1.613142857
1,50,1,0,4.124066667,4.364771429,7.300633333,10.79570476,2.123852381,7.865519048,3.63472381,6.195,3.830695238,0.692204762,3.59367619
1,51,1,0,-1.229338095,-3.922128571,-3.225009524,-0.545328571,-2.318771429,3.215552381,-5.489295238,-4.968271429,-2.44192381,1.065290476,-3.681819048
1,52,1,0,-5.924971429,-6.979742857,-9.202109524,-3.372238095,-10.65384762,1.825657143,-7.94422381,-2.527742857,-6.472314286,-7.380590476,-7.511233333
1,53,1,0,-10.29899048,-6.800571429,-5.097852381,-5.12087619,-5.19437619,0.126252381,-3.137880952,0.78747619,-3.155028571,-8.465104762,-7.725333333
1,54,1,0,-8.251928571,-7.71712381,-8.296957143,-5.538495238,-12.0962381,-10.40301905,-11.15140952,-6.344904762,-12.7445619,-2.00222381,-7.914985714
1,55,1,0,-8.446166667,-8.4834,-7.747104762,-8.415195238,-11.55578095,-3.039638095,-9.928371429,-2.804128571,-8.105695238,-8.211695238,-8.224214286
1,56,1,0,5.400338095,1.950057143,0.761152381,4.44922381,2.499466667,-0.190195238,3.595838095,0.146033333,2.960285714,2.60452381,6.522119048
1,57,1,0,-0.43297619,4.774061905,4.47732381,2.883261905,2.371961905,2.713638095,1.397061905,5.301847619,1.902638095,5.085928571,1.13037619
1,58,1,0,-3.396366667,1.421714286,2.356785714,0.137119048,1.683338095,6.567085714,1.083552381,4.405804762,1.49107619,-0.754538095,2.422838095
1,59,1,0,-19.87307619,-19.82513333,-18.63380476,-16.14559524,-19.9717381,-13.97807619,-25.22422381,-16.83222857,-20.55047143,-18.19037619,-21.46599048
1,60,1,0,-9.842809524,-10.32076667,-11.5736,-8.881728571,-7.565804762,-5.897404762,-6.653042857,-7.6051,-8.142485714,-8.128409524,-3.469
1,61,1,0,-10.02432381,-11.37245238,-9.1618,-3.301466667,-7.034395238,-5.78477619,-5.454061905,-3.907909524,-5.192466667,-11.73030952,-9.527509524
1,62,1,0,-1.696757143,-5.527061905,-0.649038095,-11.38607619,-3.975495238,-4.039209524,-2.747704762,-11.52941429,-1.295109524,-5.19072381,-3.655219048
1,63,1,0,-16.18682381,-19.0883619,-22.5198381,-18.1208,-15.2189619,-22.01648571,-11.4204,-21.41880952,-9.576233333,-15.45113333,-17.03815238
